hour,day_of_week,month,ride_requests,temperature,humidity,weather_condition,holiday
12,Sunday,July,66,23,87,Rain,0
12,Sunday,April,191,18,31,Snow,1
6,Monday,November,121,17,77,Snow,1
14,Thursday,June,57,17,82,Snow,1
0,Friday,October,74,21,44,Cloudy,0
10,Monday,March,115,34,43,Snow,0
17,Wednesday,June,59,22,65,Snow,0
18,Wednesday,July,76,22,41,Rain,0
5,Monday,July,113,19,86,Cloudy,0
18,Tuesday,December,73,31,42,Clear,0
21,Monday,January,72,25,48,Rain,1
21,Friday,December,173,20,68,Cloudy,1
8,Tuesday,January,183,26,31,Snow,0
19,Tuesday,July,57,18,78,Clear,0
0,Friday,December,127,17,60,Cloudy,1
17,Saturday,May,111,34,84,Snow,0
16,Wednesday,August,106,29,85,Clear,0
9,Friday,March,122,27,37,Cloudy,1
8,Wednesday,October,63,23,70,Snow,1
23,Monday,April,143,19,38,Clear,0
18,Wednesday,January,84,24,67,Snow,0
15,Wednesday,May,51,31,41,Clear,1
19,Monday,February,94,33,44,Snow,0
22,Saturday,May,82,24,63,Rain,0
17,Monday,November,164,29,74,Snow,1
7,Sunday,March,178,20,72,Cloudy,1
6,Tuesday,June,119,26,32,Clear,0
1,Saturday,May,89,31,88,Rain,1
12,Saturday,February,92,20,54,Cloudy,0
13,Friday,July,166,31,34,Rain,1
14,Saturday,March,111,32,69,Clear,1
2,Thursday,July,147,16,49,Rain,1
1,Tuesday,March,111,18,85,Rain,0
18,Tuesday,August,120,29,82,Rain,0
22,Friday,August,194,31,54,Cloudy,1
13,Saturday,January,167,22,51,Clear,1
17,Friday,May,137,22,89,Snow,0
1,Friday,October,72,30,42,Cloudy,0
14,Friday,April,172,29,46,Rain,1
18,Friday,November,71,15,87,Clear,1
16,Tuesday,December,190,17,79,Cloudy,1
19,Friday,April,147,21,39,Rain,1
21,Wednesday,September,131,15,76,Clear,1
21,Wednesday,June,58,17,57,Clear,1
19,Sunday,July,148,32,61,Clear,1
15,Sunday,March,72,32,43,Clear,1
10,Wednesday,September,137,31,30,Cloudy,1
15,Sunday,September,187,24,67,Rain,1
10,Saturday,September,197,27,81,Clear,1
23,Friday,August,96,23,84,Snow,1
20,Tuesday,May,186,33,52,Snow,0
20,Wednesday,January,80,25,36,Cloudy,1
13,Sunday,September,135,34,87,Clear,1
1,Monday,November,132,19,43,Cloudy,1
23,Tuesday,April,157,30,32,Cloudy,1
3,Sunday,September,77,27,30,Clear,1
0,Saturday,March,172,28,53,Clear,1
2,Thursday,January,65,19,56,Cloudy,1
23,Tuesday,July,198,25,31,Rain,1
21,Sunday,May,150,15,33,Rain,1
3,Saturday,March,155,19,58,Snow,0
10,Wednesday,January,70,20,52,Clear,1
7,Thursday,January,154,29,70,Snow,1
23,Monday,July,198,28,73,Snow,0
0,Thursday,August,68,30,78,Clear,1
0,Friday,September,142,22,72,Cloudy,1
12,Sunday,June,170,17,39,Clear,1
20,Saturday,May,119,17,84,Cloudy,1
10,Tuesday,March,168,31,85,Clear,1
19,Friday,October,60,15,56,Clear,1
1,Wednesday,March,57,16,83,Rain,1
8,Monday,September,165,26,50,Snow,1
14,Monday,August,163,17,37,Snow,0
2,Sunday,October,100,23,54,Rain,1
13,Tuesday,November,164,23,79,Rain,0
7,Sunday,September,194,17,89,Clear,1
10,Thursday,February,183,15,74,Clear,1
15,Thursday,January,154,28,73,Rain,1
14,Wednesday,June,146,22,46,Cloudy,0
20,Thursday,April,52,23,73,Snow,1
11,Saturday,October,51,18,34,Rain,0
10,Friday,May,161,26,71,Snow,0
23,Tuesday,November,161,17,89,Rain,1
17,Monday,December,83,18,72,Snow,1
16,Sunday,December,196,31,31,Clear,1
23,Monday,September,197,33,74,Snow,1
17,Wednesday,January,195,19,50,Snow,0
2,Tuesday,September,65,27,58,Cloudy,1
9,Thursday,October,131,30,30,Cloudy,0
20,Saturday,February,121,21,77,Clear,0
4,Tuesday,December,124,19,62,Clear,0
22,Monday,December,62,16,79,Cloudy,0
13,Sunday,October,198,16,75,Clear,1
5,Thursday,October,94,31,69,Clear,1
1,Friday,January,51,17,87,Snow,0
4,Tuesday,July,109,16,72,Cloudy,1
17,Wednesday,November,55,27,51,Snow,0
11,Sunday,August,86,18,51,Snow,0
22,Sunday,January,89,32,60,Snow,1
8,Friday,August,150,28,36,Cloudy,0
12,Tuesday,March,188,16,73,Clear,0
23,Friday,May,61,19,79,Rain,0
8,Monday,January,110,16,38,Rain,1
17,Thursday,July,143,19,34,Snow,0
15,Monday,February,156,26,33,Snow,0
17,Thursday,September,68,28,89,Rain,1
6,Tuesday,May,166,21,67,Snow,1
23,Friday,December,76,21,46,Clear,1
21,Saturday,May,114,34,51,Cloudy,0
13,Friday,November,69,18,33,Clear,1
20,Tuesday,June,186,30,57,Snow,1
6,Thursday,April,123,21,35,Cloudy,1
7,Monday,August,126,33,58,Rain,1
4,Thursday,June,130,18,68,Cloudy,1
10,Sunday,June,170,20,42,Clear,0
0,Thursday,April,111,16,86,Cloudy,0
9,Tuesday,August,113,29,59,Cloudy,0
8,Friday,March,85,15,66,Clear,1
16,Tuesday,June,65,28,78,Snow,1
4,Sunday,December,121,25,65,Snow,1
6,Wednesday,August,91,24,43,Snow,1
22,Tuesday,January,94,24,61,Rain,0
8,Wednesday,October,98,29,83,Rain,0
11,Sunday,April,91,23,68,Rain,0
22,Wednesday,June,113,19,39,Snow,1
0,Saturday,February,67,30,65,Snow,0
7,Monday,March,158,24,89,Cloudy,1
16,Wednesday,January,67,20,85,Clear,1
19,Monday,January,118,20,41,Rain,1
14,Monday,November,93,23,32,Rain,0
22,Tuesday,March,189,23,74,Rain,1
1,Saturday,July,69,17,53,Clear,1
11,Thursday,March,125,28,54,Snow,0
9,Sunday,February,136,18,61,Rain,1
12,Thursday,July,182,24,80,Clear,1
3,Wednesday,September,53,26,31,Snow,1
9,Monday,September,113,18,38,Cloudy,0
7,Sunday,June,90,28,50,Cloudy,1
2,Friday,January,178,21,63,Rain,1
21,Tuesday,December,189,29,35,Snow,1
15,Saturday,January,191,27,80,Snow,1
14,Friday,June,145,27,75,Rain,1
17,Sunday,November,76,21,41,Clear,0
3,Wednesday,November,138,15,31,Rain,0
6,Monday,November,157,16,79,Cloudy,1
6,Wednesday,March,53,16,56,Snow,0
3,Thursday,June,153,30,80,Rain,1
15,Tuesday,January,186,27,55,Snow,1
11,Tuesday,June,65,32,65,Snow,1
20,Saturday,November,97,24,30,Clear,1
3,Friday,April,120,20,45,Cloudy,0
14,Saturday,July,195,16,76,Cloudy,1
1,Saturday,March,100,20,31,Rain,0
14,Saturday,May,68,20,74,Snow,0
22,Friday,December,191,27,67,Cloudy,0
15,Friday,November,94,20,83,Snow,0
1,Wednesday,May,61,20,41,Snow,1
19,Friday,December,79,18,43,Rain,0
5,Saturday,July,63,18,42,Cloudy,0
5,Tuesday,February,113,34,84,Rain,1
16,Saturday,June,149,22,48,Clear,0
8,Tuesday,February,128,16,88,Cloudy,0
9,Tuesday,December,146,16,57,Cloudy,0
13,Tuesday,March,177,33,52,Clear,0
2,Tuesday,October,100,25,40,Snow,1
2,Saturday,February,136,21,55,Snow,0
14,Tuesday,September,79,28,30,Snow,1
18,Thursday,January,115,34,48,Snow,0
5,Friday,August,57,23,33,Cloudy,0
23,Sunday,March,145,17,71,Cloudy,0
5,Monday,December,67,20,67,Clear,0
11,Wednesday,October,193,15,37,Clear,1
13,Tuesday,November,196,33,53,Snow,0
14,Monday,September,175,28,36,Cloudy,0
10,Monday,May,130,17,75,Snow,1
1,Friday,December,125,32,31,Rain,0
4,Monday,January,169,22,38,Rain,0
21,Sunday,November,169,19,55,Cloudy,0
10,Wednesday,March,122,27,59,Clear,1
22,Sunday,August,196,18,66,Snow,1
12,Wednesday,April,111,27,49,Snow,0
5,Tuesday,September,155,32,83,Cloudy,0
17,Sunday,June,184,15,53,Snow,1
18,Saturday,March,113,16,88,Snow,0
14,Friday,February,79,27,58,Rain,1
13,Tuesday,May,160,25,72,Rain,1
21,Monday,December,132,29,75,Rain,1
11,Wednesday,August,148,26,50,Cloudy,1
19,Wednesday,July,172,25,67,Cloudy,1
6,Monday,January,121,26,89,Rain,0
6,Saturday,December,127,22,71,Rain,0
7,Friday,February,81,33,63,Clear,0
18,Friday,April,194,17,55,Snow,0
21,Wednesday,April,73,23,70,Clear,0
2,Monday,June,68,33,77,Rain,1
9,Wednesday,April,88,26,41,Snow,0
22,Saturday,November,166,31,84,Clear,1
20,Sunday,February,139,31,66,Clear,0
3,Thursday,March,158,32,68,Clear,1
15,Wednesday,October,120,33,50,Rain,0
15,Thursday,August,67,24,35,Clear,1
0,Sunday,May,105,30,89,Rain,1
7,Tuesday,April,118,32,34,Cloudy,1
18,Wednesday,April,116,15,60,Cloudy,1
6,Wednesday,September,62,29,88,Cloudy,0
4,Saturday,May,123,15,62,Clear,0
21,Sunday,August,107,20,78,Cloudy,0
19,Tuesday,January,165,17,72,Rain,0
0,Wednesday,May,56,17,46,Clear,0
17,Friday,July,175,31,83,Cloudy,0
10,Tuesday,March,198,23,65,Clear,1
11,Friday,January,158,32,77,Clear,0
8,Tuesday,May,165,20,83,Rain,1
11,Tuesday,July,105,29,89,Clear,1
18,Sunday,April,109,34,72,Cloudy,1
18,Thursday,May,63,31,57,Snow,1
17,Thursday,September,112,22,79,Cloudy,1
14,Thursday,July,67,30,53,Clear,0
8,Thursday,September,196,17,51,Cloudy,1
18,Saturday,April,157,28,76,Snow,1
7,Wednesday,April,105,16,70,Cloudy,0
7,Friday,May,196,15,63,Clear,1
21,Sunday,April,74,22,84,Clear,0
19,Monday,June,141,20,61,Snow,0
22,Wednesday,December,178,18,86,Snow,1
6,Sunday,July,87,21,86,Clear,1
21,Tuesday,February,125,26,66,Rain,1
18,Friday,November,178,34,83,Clear,0
2,Saturday,February,140,19,37,Rain,0
13,Tuesday,April,113,22,89,Rain,1
1,Friday,May,50,28,86,Rain,0
2,Sunday,May,97,27,62,Cloudy,1
11,Sunday,March,121,28,89,Rain,1
17,Monday,September,80,28,65,Cloudy,1
13,Friday,October,161,22,32,Cloudy,0
8,Monday,June,142,16,34,Clear,0
14,Wednesday,December,60,28,39,Cloudy,1
4,Thursday,November,111,16,43,Clear,0
6,Thursday,March,183,23,57,Clear,1
0,Monday,December,68,22,64,Snow,1
9,Thursday,October,109,33,81,Cloudy,0
4,Wednesday,April,120,31,85,Cloudy,1
12,Saturday,March,158,18,41,Clear,0
1,Wednesday,February,190,15,75,Snow,1
15,Thursday,January,176,34,39,Rain,0
1,Thursday,June,71,25,36,Clear,0
6,Saturday,December,114,20,48,Clear,1
10,Saturday,March,184,24,55,Clear,0
15,Monday,June,138,19,32,Snow,0
8,Monday,January,59,31,83,Snow,1
7,Wednesday,September,163,28,87,Snow,1
9,Thursday,July,198,24,87,Rain,1
21,Saturday,June,187,17,66,Snow,0
21,Monday,July,177,19,79,Cloudy,1
3,Sunday,April,106,26,63,Rain,1
2,Friday,July,176,29,62,Clear,0
7,Wednesday,May,81,33,73,Rain,1
4,Sunday,October,104,19,45,Rain,0
5,Wednesday,January,108,27,55,Cloudy,0
0,Monday,December,104,25,43,Rain,1
12,Thursday,April,138,19,66,Rain,0
15,Monday,December,166,19,65,Snow,0
5,Wednesday,July,115,15,88,Clear,0
14,Saturday,November,73,19,41,Rain,0
23,Friday,April,169,16,80,Cloudy,0
18,Sunday,May,72,21,41,Cloudy,1
14,Saturday,October,185,17,63,Rain,0
5,Tuesday,October,160,30,43,Snow,1
21,Saturday,August,93,27,63,Snow,0
23,Tuesday,December,63,25,37,Cloudy,1
20,Friday,April,126,24,74,Snow,1
6,Monday,January,113,22,79,Cloudy,1
15,Thursday,June,173,32,63,Rain,0
10,Friday,November,194,20,45,Clear,0
4,Sunday,November,60,33,37,Rain,1
2,Tuesday,August,198,26,49,Rain,0
10,Saturday,October,80,15,70,Rain,1
23,Monday,February,180,31,39,Rain,0
12,Tuesday,August,193,33,55,Rain,0
7,Friday,May,70,29,69,Clear,1
9,Thursday,January,189,16,69,Cloudy,0
5,Friday,December,79,19,70,Snow,1
3,Thursday,January,133,29,31,Clear,1
13,Tuesday,December,127,33,65,Clear,1
22,Saturday,January,191,16,49,Snow,0
16,Wednesday,July,151,27,55,Cloudy,1
10,Thursday,May,191,23,74,Clear,1
22,Saturday,June,179,19,37,Rain,0
15,Monday,June,181,29,60,Snow,1
9,Wednesday,August,154,25,73,Clear,1
1,Saturday,December,145,21,55,Cloudy,0
21,Monday,November,53,29,74,Rain,0
3,Monday,September,124,20,53,Clear,1
8,Tuesday,February,90,29,35,Snow,0
4,Sunday,January,127,15,58,Clear,1
13,Saturday,September,81,34,49,Rain,1
3,Wednesday,December,92,24,67,Rain,0
12,Friday,July,107,24,39,Cloudy,1
8,Sunday,June,127,19,61,Snow,1
16,Saturday,September,100,23,33,Clear,1
1,Tuesday,February,96,31,60,Clear,1
5,Friday,August,90,20,66,Clear,1
10,Tuesday,August,50,22,84,Rain,1
15,Friday,February,86,24,60,Cloudy,1
21,Tuesday,February,125,19,66,Snow,1
11,Wednesday,July,178,15,46,Clear,1
3,Monday,November,121,18,81,Rain,1
12,Saturday,January,161,15,85,Cloudy,1
2,Tuesday,August,179,34,57,Clear,1
11,Sunday,March,136,29,44,Rain,0
6,Wednesday,July,168,30,67,Rain,0
22,Thursday,October,137,19,51,Snow,1
20,Tuesday,December,109,20,78,Clear,0
4,Monday,April,177,20,54,Clear,1
13,Wednesday,March,59,31,45,Clear,1
9,Monday,November,93,28,87,Rain,0
5,Tuesday,April,125,25,78,Clear,0
22,Thursday,April,187,19,71,Rain,1
2,Sunday,August,105,15,81,Cloudy,0
14,Saturday,August,95,28,71,Rain,1
7,Friday,September,60,18,42,Clear,0
16,Thursday,July,74,21,68,Rain,0
4,Thursday,March,80,25,46,Snow,0
7,Thursday,June,183,27,65,Rain,1
16,Friday,December,166,22,52,Rain,1
8,Tuesday,November,193,25,35,Cloudy,1
16,Friday,February,94,15,35,Cloudy,1
21,Sunday,May,167,24,82,Cloudy,0
11,Thursday,March,141,32,36,Rain,1
19,Wednesday,June,126,18,74,Cloudy,1
7,Monday,August,59,16,78,Cloudy,0
22,Wednesday,May,147,17,66,Clear,0
12,Friday,April,114,25,58,Snow,0
13,Sunday,December,156,19,30,Clear,0
15,Sunday,March,107,22,36,Clear,0
0,Sunday,July,135,26,34,Cloudy,1
9,Friday,December,194,27,76,Clear,1
17,Saturday,March,112,22,67,Rain,1
10,Sunday,October,77,26,35,Rain,0
1,Saturday,April,53,24,71,Rain,1
12,Saturday,January,110,28,78,Clear,1
6,Sunday,January,114,30,70,Clear,1
20,Tuesday,February,70,30,56,Rain,1
16,Saturday,April,152,16,74,Cloudy,0
22,Saturday,January,60,26,76,Clear,0
16,Wednesday,August,112,22,40,Clear,1
23,Saturday,January,133,23,68,Snow,1
13,Tuesday,August,114,26,79,Clear,1
14,Wednesday,August,154,24,82,Clear,1
11,Thursday,December,59,15,64,Rain,1
15,Tuesday,November,75,32,81,Snow,0
1,Sunday,February,114,21,56,Clear,1
20,Sunday,March,112,22,67,Cloudy,0
1,Friday,June,174,24,36,Clear,0
10,Sunday,April,99,33,46,Cloudy,0
1,Thursday,July,166,17,62,Snow,1
14,Friday,December,185,24,47,Cloudy,1
13,Sunday,December,148,33,58,Cloudy,1
20,Thursday,April,110,20,46,Rain,1
9,Sunday,March,144,18,46,Cloudy,0
3,Friday,November,172,21,44,Snow,0
20,Friday,November,133,15,43,Clear,1
13,Sunday,November,99,17,57,Clear,0
1,Saturday,January,135,19,44,Clear,1
22,Thursday,January,88,22,88,Clear,0
12,Tuesday,February,79,25,43,Rain,1
12,Saturday,July,149,18,78,Snow,0
6,Thursday,May,105,25,74,Snow,1
8,Thursday,June,182,21,64,Cloudy,0
15,Thursday,December,193,17,49,Rain,1
4,Wednesday,May,66,25,60,Cloudy,0
16,Thursday,May,118,30,83,Clear,1
5,Thursday,August,64,27,83,Cloudy,1
21,Friday,August,157,28,70,Clear,0
6,Friday,July,185,30,58,Rain,0
5,Tuesday,June,60,26,75,Rain,0
1,Thursday,December,75,19,43,Cloudy,0
12,Tuesday,January,53,15,64,Cloudy,0
2,Tuesday,April,66,31,78,Clear,1
7,Monday,September,84,24,44,Rain,0
17,Monday,September,124,28,83,Cloudy,1
15,Saturday,April,178,16,38,Clear,1
20,Saturday,March,85,31,59,Clear,0
19,Tuesday,February,78,20,75,Rain,0
7,Sunday,June,144,31,45,Cloudy,1
13,Tuesday,August,166,22,33,Rain,1
9,Saturday,May,105,15,76,Snow,0
2,Sunday,April,76,30,87,Snow,0
23,Thursday,January,112,26,60,Cloudy,0
1,Saturday,March,195,30,42,Rain,1
11,Monday,September,136,23,56,Cloudy,1
9,Monday,June,50,18,81,Snow,1
13,Monday,August,155,27,50,Clear,0
4,Thursday,July,169,15,33,Cloudy,1
10,Friday,December,157,26,38,Clear,1
7,Monday,July,89,24,54,Cloudy,1
0,Monday,April,145,28,72,Clear,0
21,Monday,September,186,16,43,Snow,0
2,Tuesday,April,168,22,76,Cloudy,0
16,Wednesday,September,108,30,67,Snow,0
9,Thursday,December,157,22,48,Cloudy,0
23,Friday,November,128,19,79,Rain,0
3,Tuesday,July,58,19,63,Snow,0
23,Monday,January,137,23,33,Clear,1
13,Saturday,March,120,34,55,Snow,1
19,Tuesday,March,159,22,85,Snow,0
8,Sunday,September,139,23,84,Snow,1
4,Wednesday,December,159,29,30,Snow,1
16,Wednesday,October,115,19,62,Cloudy,0
2,Sunday,November,152,28,74,Rain,1
8,Wednesday,July,154,21,58,Cloudy,1
17,Friday,March,95,24,87,Clear,1
16,Thursday,June,199,32,64,Clear,1
14,Tuesday,December,62,20,54,Clear,1
3,Friday,August,124,15,72,Snow,0
10,Thursday,January,77,15,49,Rain,0
16,Saturday,September,187,32,86,Rain,0
17,Wednesday,June,156,33,88,Cloudy,1
14,Thursday,June,73,21,64,Snow,1
5,Monday,June,82,26,35,Snow,0
2,Sunday,August,142,16,40,Clear,1
20,Thursday,June,70,19,50,Clear,0
2,Thursday,September,111,28,48,Cloudy,1
11,Thursday,January,176,32,80,Rain,1
2,Thursday,June,141,23,78,Rain,0
6,Tuesday,July,142,33,38,Cloudy,0
14,Sunday,April,101,22,31,Clear,0
8,Tuesday,March,174,15,69,Snow,0
10,Monday,October,79,22,64,Rain,1
9,Tuesday,February,114,18,33,Cloudy,0
17,Sunday,May,137,16,35,Rain,0
21,Wednesday,February,102,28,73,Cloudy,1
6,Tuesday,August,125,24,65,Clear,1
18,Tuesday,December,115,22,43,Cloudy,0
1,Sunday,July,83,16,56,Snow,0
17,Thursday,June,198,19,79,Rain,0
22,Friday,July,181,16,32,Cloudy,1
21,Wednesday,March,75,17,46,Clear,0
22,Tuesday,December,173,15,54,Cloudy,0
5,Thursday,June,120,23,49,Snow,1
7,Thursday,May,85,29,33,Snow,0
23,Friday,October,120,15,47,Rain,1
1,Sunday,February,141,24,53,Snow,0
2,Monday,January,162,32,74,Clear,1
20,Wednesday,June,106,16,41,Cloudy,0
19,Sunday,August,99,26,40,Snow,0
23,Monday,July,71,17,79,Cloudy,1
22,Sunday,July,87,33,35,Snow,0
6,Friday,June,84,23,74,Clear,1
12,Sunday,February,96,34,57,Rain,1
3,Sunday,July,191,17,80,Rain,1
19,Thursday,July,152,18,77,Clear,1
6,Friday,October,156,19,67,Clear,1
12,Monday,December,182,32,78,Snow,0
7,Wednesday,April,140,29,59,Clear,1
5,Wednesday,September,124,19,58,Cloudy,0
1,Tuesday,July,161,21,43,Snow,0
16,Saturday,June,73,16,80,Clear,0
12,Tuesday,November,74,23,49,Cloudy,1
4,Sunday,August,175,19,84,Clear,0
8,Friday,February,150,19,33,Cloudy,0
15,Wednesday,December,60,19,38,Rain,1
21,Sunday,October,185,19,72,Snow,0
3,Sunday,January,190,22,39,Clear,1
5,Tuesday,September,199,32,79,Clear,0
4,Friday,May,68,24,30,Cloudy,0
16,Friday,July,178,22,54,Clear,1
15,Thursday,August,133,30,75,Rain,0
19,Wednesday,March,157,22,56,Cloudy,1
23,Wednesday,August,75,33,34,Rain,1
0,Wednesday,July,66,27,37,Clear,0
6,Tuesday,May,147,29,79,Cloudy,0
6,Wednesday,November,157,16,31,Cloudy,1
9,Tuesday,July,68,17,55,Clear,1
13,Tuesday,June,187,31,73,Clear,1
7,Saturday,August,172,21,60,Cloudy,1
6,Monday,December,196,18,88,Cloudy,0
22,Saturday,June,84,21,72,Cloudy,1
3,Thursday,March,140,31,40,Clear,0
20,Sunday,March,62,22,79,Clear,0
11,Sunday,October,179,32,40,Snow,1
18,Tuesday,October,116,19,45,Cloudy,1
15,Sunday,September,128,28,59,Clear,1
3,Friday,November,103,24,31,Rain,1
13,Tuesday,January,63,25,57,Snow,0
11,Thursday,March,130,25,64,Snow,1
0,Tuesday,September,120,26,69,Cloudy,1
22,Sunday,May,106,25,43,Rain,0
6,Tuesday,October,193,25,53,Clear,0
4,Sunday,November,82,33,68,Snow,1
12,Wednesday,August,147,23,54,Clear,1
13,Tuesday,April,140,16,56,Rain,0
13,Thursday,April,183,23,49,Cloudy,1
3,Sunday,December,81,19,88,Snow,1
16,Monday,October,61,17,40,Rain,1
3,Monday,November,182,15,59,Cloudy,0
22,Monday,April,158,25,56,Cloudy,0
14,Saturday,September,147,16,62,Rain,1
20,Sunday,June,146,20,30,Clear,0
16,Sunday,March,169,17,47,Cloudy,0
9,Sunday,December,58,30,44,Snow,0
5,Tuesday,November,123,22,61,Clear,0
1,Thursday,August,152,33,53,Snow,1
21,Monday,March,146,29,74,Clear,1
9,Monday,January,162,19,57,Rain,1
1,Sunday,May,129,29,39,Clear,1
9,Monday,January,55,33,34,Snow,1
5,Tuesday,September,194,27,54,Snow,0
15,Friday,February,71,22,72,Cloudy,0
18,Sunday,March,85,22,54,Snow,1
6,Friday,August,150,34,34,Rain,0
9,Wednesday,January,119,24,56,Snow,0
23,Wednesday,March,87,15,37,Cloudy,1
13,Tuesday,March,98,28,62,Snow,0
11,Wednesday,March,65,16,42,Clear,1
5,Wednesday,February,89,27,61,Rain,0
0,Saturday,February,103,25,33,Snow,1
5,Sunday,October,130,15,39,Snow,0
14,Monday,August,74,27,41,Rain,0
6,Friday,February,81,20,53,Cloudy,0
2,Sunday,June,113,27,83,Clear,1
17,Saturday,September,175,21,39,Cloudy,1
11,Monday,February,62,33,54,Snow,1
23,Saturday,July,75,22,40,Rain,1
7,Monday,May,55,29,73,Rain,1
11,Thursday,December,123,21,52,Rain,1
6,Friday,January,139,32,58,Cloudy,0
5,Tuesday,September,126,23,69,Cloudy,1
5,Monday,December,127,20,81,Snow,0
14,Sunday,January,109,19,88,Clear,1
20,Monday,September,94,25,40,Snow,0
15,Thursday,May,59,16,30,Clear,0
0,Saturday,May,59,28,61,Rain,1
14,Monday,March,173,30,39,Rain,1
0,Wednesday,April,77,31,48,Cloudy,0
17,Tuesday,August,120,32,84,Rain,0
3,Saturday,October,165,15,87,Rain,0
3,Saturday,June,56,27,74,Rain,0
3,Tuesday,July,184,18,84,Rain,1
10,Wednesday,June,137,18,82,Clear,1
5,Saturday,June,81,27,82,Cloudy,0
22,Friday,June,128,21,71,Snow,1
6,Friday,September,56,21,43,Rain,1
14,Thursday,January,162,21,83,Clear,1
6,Saturday,January,58,34,83,Cloudy,1
5,Friday,October,123,17,83,Clear,1
6,Tuesday,January,154,21,62,Clear,1
15,Friday,December,190,23,56,Cloudy,1
13,Monday,October,152,26,34,Snow,0
11,Tuesday,October,94,29,82,Cloudy,1
20,Thursday,December,131,32,82,Cloudy,0
15,Friday,August,176,32,46,Clear,0
23,Thursday,November,123,25,40,Clear,0
14,Saturday,October,166,31,43,Rain,1
2,Tuesday,February,189,22,82,Snow,0
5,Thursday,November,90,34,44,Clear,1
2,Thursday,July,131,19,50,Rain,1
10,Monday,April,140,32,44,Snow,0
9,Wednesday,April,135,32,68,Clear,1
13,Thursday,April,101,29,53,Snow,0
1,Wednesday,July,154,27,30,Cloudy,0
16,Wednesday,March,76,20,70,Cloudy,1
4,Wednesday,August,161,29,52,Cloudy,1
20,Friday,December,99,30,78,Clear,0
1,Sunday,May,123,33,72,Snow,1
17,Monday,April,171,22,43,Clear,1
3,Monday,December,126,27,35,Rain,1
2,Monday,October,162,19,65,Clear,0
11,Wednesday,September,198,24,70,Clear,0
18,Thursday,January,133,17,65,Rain,1
